"Site Crawled","http://localhost:3000/"
"Date","2026-02-21"
"Time","12:33:39"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Sitemaps"
"All","10","100,00%","10","Internal HTML/XML pages"
"URLs in Sitemap","0","0,00%","10","Internal HTML/XML pages"
"URLs not in Sitemap","0","0,00%","10","Internal HTML/XML pages"
"Orphan URLs","0","0,00%","10","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","0","0,00%","10","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0,00%","10","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0,00%","10","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0,00%","10","Internal HTML/XML pages"
""
"PageSpeed"
"All","10","100,00%","10","PageSpeed Data"
"Eliminate Render-Blocking Resources","0","0,00%","10","PageSpeed Data"
"Properly Size Images","0","0,00%","10","PageSpeed Data"
"Defer Offscreen Images","0","0,00%","10","PageSpeed Data"
"Minify CSS","0","0,00%","10","PageSpeed Data"
"Minify JavaScript","0","0,00%","10","PageSpeed Data"
"Reduce Unused CSS","0","0,00%","10","PageSpeed Data"
"Reduce Unused JavaScript","0","0,00%","10","PageSpeed Data"
"Efficiently Encode Images","0","0,00%","10","PageSpeed Data"
"Serve Images in Next-Gen Formats","0","0,00%","10","PageSpeed Data"
"Enable Text Compression","0","0,00%","10","PageSpeed Data"
"Preconnect to Required Origins","0","0,00%","10","PageSpeed Data"
"Reduce Server Response Times (TTFB)","0","0,00%","10","PageSpeed Data"
"Avoid Multiple Page Redirects","0","0,00%","10","PageSpeed Data"
"Preload Key Requests","0","0,00%","10","PageSpeed Data"
"Use Video Formats for Animated Content","0","0,00%","10","PageSpeed Data"
"Avoid Excessive DOM Size","0","0,00%","10","PageSpeed Data"
"Reduce JavaScript Execution Time","0","0,00%","10","PageSpeed Data"
"Serve Static Assets with an Efficient Cache Policy","0","0,00%","10","PageSpeed Data"
"Minimize Main-Thread Work","0","0,00%","10","PageSpeed Data"
"Ensure Text Remains Visible During Webfont Load","0","0,00%","10","PageSpeed Data"
"Image Elements Do Not Have Explicit Width & Height","0","0,00%","10","PageSpeed Data"
"Avoid Large Layout Shifts","0","0,00%","10","PageSpeed Data"
"Avoid Serving Legacy JavaScript to Modern Browsers","0","0,00%","10","PageSpeed Data"
"Request Errors","0","0,00%","10","PageSpeed Data"
""
"Custom Search"
"All","10","100,00%","10","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","10","100,00%","10","Internal HTML pages with 2xx response"
""
"Analytics"
"All","10","100,00%","10","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0,00%","10","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0,00%","10","Internal URLs with associated Google Analytics data"
"No GA Data","0","0,00%","10","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0,00%","10","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0,00%","10","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","10","100,00%","10","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0,00%","10","Internal URLs with associated Google Search Console data"
